company_name,siren_number,nic_number,legal_form,ape_code,address,postal_code,city,region,registration_date,deregistration_date,closing_date_2018_1,revenue_2018_1,turnover_2018_1,closing_date_2018_2,revenue_2018_2,turnover_2018_2,closing_date_2018_3,revenue_2018_3,turnover_2018_3,closing_date_2019_1,revenue_2019_1,turnover_2019_1,closing_date_2019_2,revenue_2019_2,turnover_2019_2,closing_date_2019_3,revenue_2019_3,turnover_2019_3,closing_date_2020_1,revenue_2020_1,turnover_2020_1,closing_date_2020_2,revenue_2020_2,turnover_2020_2,closing_date_2020_3,revenue_2020_3,turnover_2020_3,closing_date_2021_1,revenue_2021_1,turnover_2021_1,closing_date_2021_2,revenue_2021_2,turnover_2021_2,closing_date_2021_3,revenue_2021_3,turnover_2021_3,closing_date_2022_1,revenue_2022_1,turnover_2022_1,closing_date_2022_2,revenue_2022_2,turnover_2022_2,closing_date_2022_3,revenue_2022_3,turnover_2022_3,industry_sector,phone_number,website,reviews,schedule,instagram,facebook,twitter,linkedin,youtube,email,scraping_date,siren,dateCreationUniteLegale,dateDernierTraitementUniteLegale,nombrePeriodesUniteLegale,categorieEntreprise
DUPUIS,897584025,18.0,Societe a responsabilite limitee,0000Z,61 AVENUE DU PORT,13230.0,PORT ST LOUIS DU RHONE,Provence-Alpes-Côte d'Azur,2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,897584025.0,2021-03-26,2024-03-22T14:26:06,2.0,PME
COFFEE SAINT SEB,912602471,19.0,Société par actions simplifiée à associé unique,0000Z,55 AVENUE BERNARD MOITESSIER,17180.0,PERIGNY,Aquitaine-Limousin-Poitou-Charentes,2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,912602471.0,2022-04-19,2024-03-22T14:26:06,2.0,
ASAP ASSURANCES,879333839,14.0,Societe a responsabilite limitee,0000Z,123 RUE DE PARIS,53021.0,LAVAL CEDEX 9,Pays-de-la-Loire,2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,879333839.0,2019-11-28,2024-03-22T14:26:06,3.0,PME
LESMARONIES ENERGIES,922407119,10.0,Société par actions simplifiée,0000Z,LESMARONIES,15140.0,ST PAUL DE SALERS,Auvergne-Rhône-Alpes,2022-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,922407119.0,2022-12-21,2024-03-22T14:26:06,2.0,
CLOUZEAU,897529699,18.0,Societe a responsabilite limitee a associe unique,0000Z,17 PLACE ARISTIDE BRIAND,40110.0,MORCENX LA NOUVELLE,Aquitaine-Limousin-Poitou-Charentes,2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,897529699.0,2021-03-12,2024-03-22T14:26:06,2.0,PME
AUTO BILAN CONTROLE DIAGNOSTIC,879391431,19.0,Societe a responsabilite limitee,0000Z,1 BOULEVARD DENIS PAPIN,35500.0,VITRE,Bretagne,2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,879391431.0,2019-12-02,2024-03-22T14:26:06,2.0,PME
AUVERGNE TOITURES VULCAIN,879202901,10.0,Societe par actions simplifiee,0000Z,8 C RUE DE PERIGNAT,63800.0,COURNON D AUVERGNE,Auvergne-Rhône-Alpes,2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,879202901.0,2019-11-25,2024-03-22T14:26:06,3.0,PME
"CHAUDRONNERIE, SERRURERIE, TUYAUTERIE, NAUTISME",895344406,15.0,Societe a responsabilite limitee,0000Z,CHEMIN DE SOLITUDE,97115.0,STE ROSE,Guadeloupe,2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,895344406.0,2021-03-09,2024-03-22T14:26:06,1.0,PME
NEW EDO SUSHI,841114465,13.0,Societe a responsabilite limitee,0000Z,14 PLACE DES CAUSSES,78180.0,MONTIGNY LE BRETONNEUX,Ile-de-France,2018-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,841114465.0,2018-07-16,2024-03-22T14:26:06,3.0,PME
LEAS,790401368,10.0,Société à responsabilité limitée,0000Z,30 RUE DU DOCTEUR BABIN,91470.0,FORGES LES BAINS,Ile-de-France,2013-01-10,2023-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,790401368.0,2013-01-10,2024-03-22T14:26:06,2.0,
