company_name;siren_number;nic_number;legal_form;ape_code;address;postal_code;city;region;registration_date;deregistration_date;closing_date_2018_1;revenue_2018_1;turnover_2018_1;closing_date_2018_2;revenue_2018_2;turnover_2018_2;closing_date_2018_3;revenue_2018_3;turnover_2018_3;closing_date_2019_1;revenue_2019_1;turnover_2019_1;closing_date_2019_2;revenue_2019_2;turnover_2019_2;closing_date_2019_3;revenue_2019_3;turnover_2019_3;closing_date_2020_1;revenue_2020_1;turnover_2020_1;closing_date_2020_2;revenue_2020_2;turnover_2020_2;closing_date_2020_3;revenue_2020_3;turnover_2020_3;closing_date_2021_1;revenue_2021_1;turnover_2021_1;closing_date_2021_2;revenue_2021_2;turnover_2021_2;closing_date_2021_3;revenue_2021_3;turnover_2021_3;closing_date_2022_1;revenue_2022_1;turnover_2022_1;closing_date_2022_2;revenue_2022_2;turnover_2022_2;closing_date_2022_3;revenue_2022_3;turnover_2022_3;industry_sector;phone_number;website;reviews;schedule;instagram;facebook;twitter;linkedin;youtube;email;scraping_date;date_creation;last_processing_date;number_of_employee;company_category
MARKET.INTELIGENCE;528249865.0;15.0;Societe a responsabilite limitee a associe unique;7022Z;12 T RUE DES PAVILLONS;92800.0;PUTEAUX;Ile-de-France;2010-11-12;;2018-12-31;;;2017-12-31;;;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010-11-01;2024-03-22T14:26:06;3.0;PME
CASA IMMOBILIER;528624786.0;18.0;Societe a responsabilite limitee;6810Z;18 RUE DES CHATAIGNIERS;67700.0;OTTERSTHAL;Alsace-Champagne-Ardenne-Lorraine;2010-12-06;;2018-12-31;;;2017-12-31;1279842.0;-59449.0;2016-12-31;4016.0;-7132.0;2019-12-31;;;2018-12-31;;;2017-12-31;1279842.0;-59449.0;2020-12-31;;;2019-12-31;;;2018-12-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010-11-15;2024-03-22T14:26:06;2.0;PME
CO-ASSIST;528938285.0;12.0;Societe par actions simplifiee a associe unique;7022Z;19 A RUE DU MARECHAL LECLERC;67870.0;GRIESHEIM PRES MOLSHEIM;Alsace-Champagne-Ardenne-Lorraine;2010-12-16;;2018-12-31;;;2017-12-31;;;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;;;2020-12-31;;;2019-12-31;;;2018-12-31;;;2021-12-31;;;2020-12-31;;;2019-12-31;;;;;;;;;;;;;;;;;;;;;;;;2011-01-02;2024-03-22T14:26:06;2.0;PME
TILLET AUTOSERVICES;528959851.0;15.0;Societe a responsabilite limitee a associe unique;4520A;RUE DE L ECOLE;64130.0;ESPES UNDUREIN;Aquitaine-Limousin-Poitou-Charentes;2011-01-07;;2018-12-31;;;2017-12-31;;;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;;;2020-12-31;;;2019-12-31;;;2018-12-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010-12-10;2024-03-22T14:26:06;1.0;PME
CALANDYCE;528982457.0;12.0;Societe a responsabilite limitee;5610A;7 PLACE DE LA VISITATION;49100.0;ANGERS;Pays-de-la-Loire;2010-12-14;;2018-11-30;;;2017-11-30;;;2016-11-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010-12-14;2024-03-22T14:26:06;4.0;
OPTIQUE SAINT AME;528982937.0;13.0;Societe a responsabilite limitee;0000Z;2 RUE DU PONT DES DOMINICAINS;59500.0;DOUAI;Nord-Pas-de-Calais-Picardie;2010-12-15;;2018-12-31;;;2017-12-31;35656.0;-6310.0;2016-12-31;52025.0;6427.0;2019-12-31;;;2018-12-31;;;2017-12-31;35656.0;-6310.0;2020-12-31;;;2019-12-31;;;2018-12-31;;;2021-12-31;;;2020-12-31;;;2019-12-31;;;;;;;;;;;;;;;;;;;;;;;;2010-12-09;2024-03-22T14:26:06;2.0;PME
VICENTINI PIERRE NATURELLE;529616641.0;13.0;Societe a responsabilite limitee a associe unique;0811Z;CASTELLAN;47310.0;LAPLUME;Aquitaine-Limousin-Poitou-Charentes;2011-01-25;;2018-12-31;;;2017-12-31;;;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;;;2020-12-31;;;2019-12-31;;;2018-12-31;;;2021-12-31;;;2020-12-31;;;2019-12-31;;;;;;;;;;;;;;;;;;;;;;;;2010-12-14;2024-03-22T14:26:06;2.0;PME
DACEST;530027846.0;19.0;Societe a responsabilite limitee;5610A;1 RUE DE LA GIRAFE;67700.0;MONSWILLER;Alsace-Champagne-Ardenne-Lorraine;2011-02-04;;2018-03-31;;;2017-03-31;;;2016-03-31;;;2019-03-31;;;2018-03-31;;;2017-03-31;;;2020-03-31;;;2019-03-31;;;2018-03-31;;;2021-03-31;;;2020-03-31;;;2019-03-31;;;;;;;;;;;;;;;;;;;;;;;;2011-03-01;2024-03-22T14:26:06;2.0;PME
SKILL AND YOU;530188986.0;59.0;Societe par actions simplifiee;8559B;85 RUE GABRIEL PERI;92120.0;MONTROUGE;Ile-de-France;2015-05-28;;2018-12-31;100000.0;19004017.0;2017-12-31;226715.0;2149809.0;2016-12-31;676429.0;23108754.0;2019-12-31;52022439.0;4463754.0;2018-12-31;100000.0;19004017.0;2017-12-31;226715.0;2149809.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2011-01-31;2024-03-22T14:26:06;6.0;ETI
D.B.D.S.;530788256.0;36.0;Societe par actions simplifiee;7022Z;80 RUE D ELBEUF;76100.0;ROUEN;Normandie;2011-03-04;;2018-08-31;;;2017-08-31;7210.0;280.0;2016-08-31;7950.0;-830.0;2019-08-31;;;2018-08-31;;;2017-08-31;7210.0;280.0;2020-08-31;;;2019-08-31;;;2018-08-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2011-03-01;2024-03-22T14:26:06;4.0;PME
